doc_key,text
doc_tt0097576_0006_12_human_human_19,"Harrison and Sean were in a bind and had been tied together . The other men in the room were holding their guns out . Suddenly , there was a blinding flash of light . All of the building was up in flames . The people were trying to get away from the fire . Harrison and Sean managed to get away ."
doc_tt0993846_0022_6_human_human_18,Jonah is struggling to breath and lies down on his living room floor . Gasping for air he tries to loosen his tie . Margot hears Jonah struggling and rushes to his aid . You can see the panic in Jonah 's face as he struggles to breathe . Leonardo is also having difficulty breathing and ends up on his floor gasping for air .
doc_tt0109686_0003_1_human_human_17,Jim and Jeff were drinking and eating marshmallows at their own campfire . While they were dancing together . Jim admitted that he had an affair with Jeff 's girlfriend . Jeff started to choke Jim . Jim told Jeff that he would never do it again . They both talked it over afterwards . Jim blames Jeff 's girl for taking advantage of him .
doc_tt0082971_0009_0_human_human_16,Harrison is playing with his monkey while thinking about what to do in a very difficult situation . Vic drives by with his bike and he looks very bound to find trouble . Harrison is being confronted by Paul and a man who wants him to follow them . seeing he does not have a choice he follows them . Paul tries to convince Harrison to join him in something Harrison considers evil and unethical .
doc_tt0083929_0005_0_human_human_15,"Robert was hanging out in his room watching the television . His friend , Brian , called him to ask him about some girl advice . Robert was happy to give him advice , since he was good with the ladies . Brian wanted to know how he should ask out Jennifer , his crush . Robert gave him some ideas and Brian felt inspired to go approach her ."
doc_tt0081505_0022_0_human_human_14,Who does n't like snow in this world it 's the same for Danny looking to play with snow even late night . Jack Danny 's father gets out of his house to bring Danny back as it 's dangerous to stay in the woods at night . Danny seeing his father Jack looking for him tries to hide so that he could play a little more . On the other hand at Jack 's house Shelley his wife is all alone . Shelley starts to hear some knocking sound coming from the wardrobe she wonders whether it 's a thief or something and grabs a knife . The sound keeps on increasing Shelley turning pale . A little blood starts to appear through the gap between the wardrobe . Shelley without any idea of what 's going on is left traumatized .
doc_tt1800241_0038_human_human_13,It is another night of boozing and living it up.Jeremy is talking crap to a fellow customer at the bar . Christian looks up and sees the most beautiful woman he has ever seen . More beautiful than his wife Amy . Jennifer is off talking to some of the girls in the bar . Telling them how she finds Jack to be so attractive . Amy and her friend are discussing why they feel Christian is being unfaithful .
doc_tt0114814_0003_4_human_human_12,Stephen and Kevin were talking about what they should have for dinner . Gabriel was really hoping for some pizza . Gabriel had pizza last night so he was n't in the mood for that . Kevin suggested they have a nice salad . Gabriel and Benicio thought that was ridiculous . Every left hungry for the night .
doc_tt0066026_0050_human_human_11,"Donald , Elliot and Sally were performing an operation . It was a huge operation and they were all very focused . The operation was replacing a man 's damaged intestines . The intestines were not working because the man got slashed in the abdomen . After over 15 hours of surgery , they were finished and they all gave a sigh of relief ."
doc_tt1403865_0009_3_human_human_10,"Barry is the sheriff and he aims his gun . Jeff holds his hands up and asks the sheriff not to shoot . Barry aims his gun and prepares to shoot . Although Jeff aims his gun at Barry , Barry is able to shoot first . Barry hits Jeff with a bullet and Jeff starts to fall off his horse . Barry puts his gun away as it seems that Jeff is not threatening him anymore . Jeff lies on the ground in pain as he waits for Barry to arrest him ."
doc_tt0119822_0001_0_human_human_9,"Jack had just arrived in his hotel after a long day of traveling . Jack got into the elevator , but he noticed a noise outside , in the hallway . He looked and it was a small dog that was lost . The dog looked at Jack , as if he wanted to be petted . jack approached the small dog cautiously . He picked up the dog , but it started to urinate on Jack ! ."
doc_tt0129387_0002_18_human_human_8,After having some relationship issues Cameron thought it would be best to give back the car Ben gave her . Ben took the keys and walked away but began to reevaluate their relationship . After some thought Ben realized it would be best if they tried to work out their problems and turned around . Once he turned around Cameron came rushing in since she was so happy that Ben did n't give up on their relationship . They finally are embracing each other with a strong passion and they are on their way to creating an even stronger relationship .
doc_tt1059786_0003_1_human_human_7,Shia was in the interrogation room trying to explain his case with the police . Billy was n't buying his excuses of how he did n't commit the crime . Shia was adamant that he was innocent and wanted to talk to his lawyer . Meanwhile Michelle was out with her friends enjoying a drink at a bar . They were having a good time talking about old times .
doc_tt0109686_0003_2_human_human_6,"Jim parked his red sports car outside of the hotel when he arrived . He stormed out of the car and showed everyone how much money he had ! . He then went into the hotel as if he owned it . He spent all day with Jeff , his brother , eating and laughing while watching TV . He then watched a sad movie that made him cry ."
doc_tt0134119_0005_2_human_human_5,"Philip , Jude and Matt were playing with their new headsets . They had a fascination with headsets and would always buy the latest model . Today , they were testing out the audio of the headset . Everything was going great until Matt told them he had to go . His wife was angry at him for wasting so much money on new headsets and was throwing a fit so Matt had to go and calm her down ."
doc_tt0187393_0003_6_human_human_4,"A soldier dressed in British red army garment is taking a direct hit in a skirmish , slowly falling backwards . The entire group of British soldiers is trying to respond to the attack by unseen assailants , who use the advantage of narrow pathways in the woods , to return fire . The lone attacker skirts between trees to change his angle of attack and gain a further advantage over the slow British troops . Having changed his position to another angle , he takes aim at another soldier . passing him by as part of the group of English soldiers . The result of this confrontation is costly for the English forces , as several of their soldiers are lying dead on the floor , struck down by a single attacker who has remained well hidden in the woods ."
doc_tt0114388_0004_0_human_human_3,"The carriage arrived to the house . It picked up Emma and Kate from their home . Emma and Kate were sitting in silence for the all ride . They were passing by beautiful scenery . Finally they had arrived . Hugh was already waiting for them . He was very happy to meet Kate again . Emma was a little worried about her daughter . Kate took a walk in the garden of Hugh , it was absolutely stunning ."
doc_tt0467200_0002_12_human_human_2,"The man looks at the women through the door , and thinks about what has happened to poor Scarlett . Natalie hears someone at the door and peers over . Scarlett looks at the man and thinks of what horrible thing he has done . The man walks in and says he would like to apologize for the mishap earlier . He begins to walk away in dismay . Natalie asks Scarlett if she is okay and can tell her all that had happened . Scarlett looks with a blank stare and says she must leave now . The evil king Eric makes his way down the hall to confront the women ."
doc_tt0113243_0006_1_human_human_1,Jonny needed people to join his chess club . Tim thought about joining but he was n't sure . Fisher figured it would be fun to do but only if Tim joined . Fisher asked Tim if he knew what a pawn or a rook was . Tim was very confused . Fisher looked Jonny in the eyes and told him he would not join the club .
doc_tt0118715_0001_1_human_human_0,Mark was dunking Jeff 's head in the toilet . He was doing that over and over again until Jeff was coughing and promising to behave . Mark dunked him one last time . Jeff was coughing up the toilet water . He felt exhausted and had trouble getting up from the floor . Mark threatened to do it again if Jeff will not behave .
